name,prediction_path,gt_path,image_path,mask_path,item_idx,seg_idx,text_prompt,dice
item000864_seg0000.png,output/structxlip_sketchy_5pct_with_3loss/seg_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item000864_seg0000.png,output/structxlip_sketchy_5pct_with_3loss/gt_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item000864_seg0000.png,/mnt/data/zruan/kqy/pami/test/6505460537d204e3cc8c6339180aa301.jpg,/mnt/data/zruan/kqy/pami/test/instance_masks/19931/4525.png,864,0,"a floor-length, zip-up, mermaid-cut dress with plastic rivets, a symmetrical design, normal waist, plain pattern, wrist-length leg of mutton sleeves and a regular collar, featuring gathering and pleats",0.8699902248289345
item000954_seg0000.png,output/structxlip_sketchy_5pct_with_3loss/seg_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item000954_seg0000.png,output/structxlip_sketchy_5pct_with_3loss/gt_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item000954_seg0000.png,/mnt/data/zruan/kqy/pami/test/dcad9d1fe5e077912fe84049c3e7076c.jpg,/mnt/data/zruan/kqy/pami/test/instance_masks/9088/5426.png,954,0,"a plain, dropped waistline, pencil dress with a plunging neckline, zip-up closure and no beads",0.8376272323925282
item000462_seg0000.png,output/structxlip_sketchy_5pct_with_3loss/seg_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item000462_seg0000.png,output/structxlip_sketchy_5pct_with_3loss/gt_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item000462_seg0000.png,/mnt/data/zruan/kqy/pami/test/947b6ea8d5e30914a55992708fbf5b99.jpg,/mnt/data/zruan/kqy/pami/test/instance_masks/11813/7757.png,462,0,"a high-waisted, trumpet-shaped, floor-length, zip-up gown with a plain pattern and a square neckline",0.8270893371757925
item001006_seg0000.png,output/structxlip_sketchy_5pct_with_3loss/seg_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item001006_seg0000.png,output/structxlip_sketchy_5pct_with_3loss/gt_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item001006_seg0000.png,/mnt/data/zruan/kqy/pami/test/f4bf2404ce69fae4d8308a0c12c9c6fa.jpg,/mnt/data/zruan/kqy/pami/test/instance_masks/12165/8060.png,1006,0,"a plain, maxi, zip-up gown with a basque waistline, fit and flare silhouette, a plastic and symmetrical design, featuring a v-neckline",0.8212857142857143
item000740_seg0000.png,output/structxlip_sketchy_5pct_with_3loss/seg_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item000740_seg0000.png,output/structxlip_sketchy_5pct_with_3loss/gt_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item000740_seg0000.png,/mnt/data/zruan/kqy/pami/test/8013b694ce0185715887693a5728c3aa.jpg,/mnt/data/zruan/kqy/pami/test/instance_masks/9396/5658.png,740,0,"a floral, symmetrical, pencil dress with a dropped waistline, sheath design, and zip-up closure, featuring a v-neckline",0.8155596181190331
item000918_seg0000.png,output/structxlip_sketchy_5pct_with_3loss/seg_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item000918_seg0000.png,output/structxlip_sketchy_5pct_with_3loss/gt_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item000918_seg0000.png,/mnt/data/zruan/kqy/pami/test/2907c60baee70f30b349de950935bdd4.jpg,/mnt/data/zruan/kqy/pami/test/instance_masks/20569/5090.png,918,0,"a plain, pencil, shift dress with no waistline and symmetrical design, featuring an illusion neckline",0.8089029470760685
item000730_seg0000.png,output/structxlip_sketchy_5pct_with_3loss/seg_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item000730_seg0000.png,output/structxlip_sketchy_5pct_with_3loss/gt_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item000730_seg0000.png,/mnt/data/zruan/kqy/pami/test/ba230c5008aba14a031f540a7d601c57.jpg,/mnt/data/zruan/kqy/pami/test/instance_masks/17533/2086.png,730,0,"a plain, floor-length mermaid gown with a dropped waistline, pleat, and off-the-shoulder neckline, featuring tulip sleeves that are short in length and are also short in length",0.807902226686757
item000789_seg0002.png,output/structxlip_sketchy_5pct_with_3loss/seg_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item000789_seg0002.png,output/structxlip_sketchy_5pct_with_3loss/gt_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item000789_seg0002.png,/mnt/data/zruan/kqy/pami/test/7721da0f16c96201bd7c4369507b734d.jpg,/mnt/data/zruan/kqy/pami/test/instance_masks/13203/8853.png,789,2,"a floor-length, asymmetrical, zip-up dress with a normal waist, gathering, and a one-shoulder neckline, paired with wrist-length sleeves",0.8066110474081689
item000235_seg0000.png,output/structxlip_sketchy_5pct_with_3loss/seg_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item000235_seg0000.png,output/structxlip_sketchy_5pct_with_3loss/gt_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item000235_seg0000.png,/mnt/data/zruan/kqy/pami/test/96efe0543a0aa8e37634431177a3e43b.jpg,/mnt/data/zruan/kqy/pami/test/instance_masks/19856/4465.png,235,0,"a pencil dress with a round neckline, wrist-length set-in sleeves and a zip-up closure",0.8058438012015292
item000497_seg0000.png,output/structxlip_sketchy_5pct_with_3loss/seg_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item000497_seg0000.png,output/structxlip_sketchy_5pct_with_3loss/gt_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item000497_seg0000.png,/mnt/data/zruan/kqy/pami/test/00e45dd233e31906f538ba17dd45bf29.jpg,/mnt/data/zruan/kqy/pami/test/instance_masks/20702/5215.png,497,0,"a plain, circular, gathered, wrapped, symmetrical shirt dress with a regular collar, short cap sleeves, flap pockets, and no belt",0.7964880411746896
item001091_seg0000.png,output/structxlip_sketchy_5pct_with_3loss/seg_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item001091_seg0000.png,output/structxlip_sketchy_5pct_with_3loss/gt_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item001091_seg0000.png,/mnt/data/zruan/kqy/pami/test/31140648986fc92f80f858c6b2b59304.jpg,/mnt/data/zruan/kqy/pami/test/instance_masks/19764/4301.png,1091,0,"a zip-up, floor-length, paisley gown with a dropped waistline, symmetrical, straight design, featuring wrist-length, set-in sleeves and a round neckline",0.7939754396474263
item001100_seg0000.png,output/structxlip_sketchy_5pct_with_3loss/seg_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item001100_seg0000.png,output/structxlip_sketchy_5pct_with_3loss/gt_results/seed42/CLIPSeg_structxlip_ViT-B-16_best_dice/item001100_seg0000.png,/mnt/data/zruan/kqy/pami/test/7c1c1c9c7a065b576f648e94d5a65c51.jpg,/mnt/data/zruan/kqy/pami/test/instance_masks/19418/3904.png,1100,0,"a high-waisted, floral maxi dress with gathering details, a symmetrical tent shape, a v-neckline and elbow-length tulip sleeves",0.7933828166690923
